home_gid9,car_tt_kfreq,pt_tt_kfreq,car_tt_kdist,pt_tt_kdist,user_id,home_grd_id,inc_quar,name,NAME_3,stay_gid9,poi_count,log_poi,pt_tt_diff,log_pt_diff,perc_pt_diff,poi_deciles
891126d7523ffff,5.721310564698825,5.721310564698825,5.695485622008547,5.695485622008547,1,1kmN6692E0393,Q1,Vantaa,Helsinki,891126d7523ffff,22.0,3.1354942159291497,0.025824942690278796,0.003849648488991164,0.004534282834546333,"(2.944, 3.178]"
891126d7527ffff,5.920290038291451,6.420290038291451,5.920290038291451,6.420290038291451,2,1kmN6689E0390,Q1,Vantaa,Helsinki,891126d7527ffff,24.0,3.2188758248682006,0.0,0.0,0.0,"(3.178, 3.434]"
891126d752fffff,12.0,37.0,10.0,36.0,1,1kmN6688E0390,Q1,Vantaa,Helsinki,891126d752fffff,31.0,3.4657359027997265,1.0,0.02666824708216131,0.027777777777777776,"(3.434, 3.807]"
891126d7533ffff,23.70514407583097,136.38855202523575,7.0,17.0,1,1kmN6688E0389,Q1,Vantaa,Helsinki,891126d7533ffff,16.0,2.833213344056216,119.38855202523575,2.032441299827271,7.022856001484456,"(2.639, 2.944]"
891126d753bffff,29.500475002340295,66.62270269844457,16.849111613178046,41.73827897646885,3,1kmN6682E0381,Q1,Helsinki,Helsinki,891126d753bffff,31.0,3.4657359027997265,24.884423721975722,0.45884878360147185,0.5962014805642808,"(3.434, 3.807]"
891126d754fffff,9.007148834414886,22.36752136852861,10.362134010159776,25.732366385490312,1,1kmN6687E0389,Q2,Vantaa,Helsinki,891126d754fffff,10.0,2.3978952727983707,3.364845016961702,0.1345279729021449,0.1307631395633724,"(1.946, 2.398]"
891126d7573ffff,17.333333333333332,47.0,12.558991414192914,29.0,3,1kmN6687E0389,Q2,Vantaa,Helsinki,891126d7573ffff,19.0,2.995732273553991,18.0,0.4700036292457357,0.6206896551724138,"(2.944, 3.178]"
891126d7577ffff,10.0,42.5,9.5,28.60537290099691,2,1kmN6687E0389,Q2,Vantaa,Helsinki,891126d7577ffff,31.0,3.4657359027997265,13.894627099003088,0.38480507631125604,0.4857348704067708,"(3.434, 3.807]"
891126d757bffff,6.047623627417988,7.0,6.047623627417988,7.0,1,1kmN6687E0390,Q2,Vantaa,Helsinki,891126d757bffff,14.0,2.70805020110221,0.0,0.0,0.0,"(2.639, 2.944]"
891126d7603ffff,9.960436215299428,18.235298902988802,7.844485047418436,18.235298902988802,2,1kmN6684E0389,Q1,Helsinki,Helsinki,891126d7603ffff,26.0,3.295836866004329,0.0,0.0,0.0,"(3.178, 3.434]"
891126d7607ffff,17.091566119287606,78.75507741846015,11.020822646404909,78.75507741846015,2,1kmN6684E0389,Q1,Helsinki,Helsinki,891126d7607ffff,24.0,3.2188758248682006,0.0,0.0,0.0,"(3.178, 3.434]"
891126d760bffff,12.5,64.5,12.0,49.0,1,1kmN6683E0389,Q3,Helsinki,Helsinki,891126d760bffff,31.0,3.4657359027997265,15.5,0.2700271372130607,0.3163265306122449,"(3.434, 3.807]"
891126d760fffff,20.348363093608103,70.0,10.0,19.0,3,1kmN6684E0389,Q1,Helsinki,Helsinki,891126d760fffff,47.0,3.871201010907891,51.0,1.2669476034873246,2.6842105263157894,"(3.807, 4.382]"
891126d7613ffff,9.31835843536718,29.2939024760925,8.0,18.0,1,1kmN6684E0389,Q1,Helsinki,Helsinki,891126d7613ffff,16.0,2.833213344056216,11.293902476092502,0.46650747468492826,0.6274390264495834,"(2.639, 2.944]"
891126d7617ffff,386.4407911319044,98.5,6.75,20.5,2,1kmN6684E0389,Q1,Helsinki,Helsinki,891126d7617ffff,15.0,2.772588722239781,78.0,1.5321047090309299,3.8048780487804876,"(2.639, 2.944]"
891126d7627ffff,7.0,6.0,5.759798786110423,6.0,3,1kmN6685E0390,Q1,Helsinki,Helsinki,891126d7627ffff,33.0,3.5263605246161616,0.0,0.0,0.0,"(3.434, 3.807]"
891126d7637ffff,6.897147627698033,17.897263307489418,5.903137797652699,5.903369157235465,1,1kmN6685E0389,Q1,Helsinki,Helsinki,891126d7637ffff,17.0,2.8903717578961645,11.993894150253952,1.0070075369468878,2.031703224175577,"(2.639, 2.944]"
891126d7643ffff,63.920017601413505,6.0,94.94328814819292,6.0,1,1kmN6683E0389,Q3,Helsinki,Helsinki,891126d7643ffff,16.0,2.833213344056216,0.0,0.0,0.0,"(2.639, 2.944]"
891126d764bffff,10.5,42.0,10.5,42.0,1,1kmN6683E0389,Q3,Helsinki,Helsinki,891126d764bffff,24.0,3.2188758248682006,0.0,0.0,0.0,"(3.178, 3.434]"
891126d7657ffff,24.82935193980157,8.0,14.36869366456467,8.0,1,1kmN6688E0392,Q1,Vantaa,Helsinki,891126d7657ffff,20.0,3.044522437723423,0.0,0.0,0.0,"(2.944, 3.178]"
891126d765bffff,21.601727437872135,79.91152667217574,15.889402702728002,51.389402702728,2,1kmN6683E0389,Q3,Helsinki,Helsinki,891126d765bffff,25.0,3.258096538021482,28.52212396944774,0.43465196203519785,0.5550195656960545,"(3.178, 3.434]"
891126d766fffff,18.831200976829205,33.57251701474815,11.758805780619753,18.489959803307773,2,1kmN6906E0385,Q1,Vantaa,Helsinki,891126d766fffff,44.0,3.8066624897703196,15.082557211440378,0.5731596094125835,0.8157160627651648,"(3.434, 3.807]"
891126d76afffff,10.365405172139583,32.5,5.70778635329636,5.8423811811567745,1,1kmN6685E0389,Q1,Helsinki,Helsinki,891126d76afffff,38.0,3.6635616461296463,26.657618818843225,1.5884096418782099,4.562800336414389,"(3.434, 3.807]"
891126d76c7ffff,5.795022996810033,5.795022996810033,5.795022996810033,5.795022996810033,1,1kmN6683E0389,Q3,Helsinki,Helsinki,891126d76c7ffff,45.0,3.828641396489095,0.0,0.0,0.0,"(3.807, 4.382]"
891126d76cbffff,14.0,25.0,8.0,17.0,3,1kmN6683E0389,Q3,Helsinki,Helsinki,891126d76cbffff,34.0,3.5553480614894135,8.0,0.3677247801253176,0.47058823529411764,"(3.434, 3.807]"
891126d76d3ffff,10.0,12.0,10.0,12.0,1,1kmN6683E0388,Q1,Helsinki,Helsinki,891126d76d3ffff,51.0,3.9512437185814275,0.0,0.0,0.0,"(3.807, 4.382]"
891126d76dbffff,7.5234620319547,12.595286567183312,7.243774999150303,11.611548813438974,1,1kmN6683E0388,Q1,Helsinki,Helsinki,891126d76dbffff,52.0,3.970291913552122,0.9837377537443377,0.075110190071765,0.0847206319802729,"(3.807, 4.382]"
891126dad07ffff,37.45971161039689,180.0,17.0,90.01424815224479,1,1kmN6670E0393,Q4,Helsinki,Helsinki,891126dad07ffff,6.0,1.9459101490553132,89.98575184775521,0.6874809639036741,0.9996834245125129,"(1.386, 1.946]"
891126dad17ffff,38.34970552965268,27.847027696201497,21.960927937515542,23.65995816438721,3,1kmN6670E0392,Q4,Helsinki,Helsinki,891126dad17ffff,13.0,2.6390573296152584,4.187069531814288,0.1568261602804646,0.17696859405764434,"(2.398, 2.639]"
891126dad87ffff,12.276832214367627,7.357927955712773,7.338634454854822,6.084764460930397,4,1kmN6671E0392,Q4,Helsinki,Helsinki,891126dad87ffff,21.0,3.091042453358316,1.2731634947823762,0.1652639163509264,0.2092379257993007,"(2.944, 3.178]"
891126dad97ffff,9.01274233077416,29.076453984644957,6.065471435034473,11.392828610206836,1,1kmN6671E0392,Q4,Helsinki,Helsinki,891126dad97ffff,21.0,3.091042453358316,17.683625374438122,0.8866246385611674,1.5521716317750416,"(2.944, 3.178]"
891126dada3ffff,51.66770963657584,59.231330576970024,5.753970879073646,6.0,1,1kmN6671E0392,Q4,Helsinki,Helsinki,891126dada3ffff,18.0,2.9444389791664403,53.231330576970024,2.1522825093546736,8.871888429495003,"(2.639, 2.944]"
891126dadbbffff,13.434844979095375,38.82365571848689,10.020143485573467,30.9289830699487,2,1kmN6671E0392,Q4,Helsinki,Helsinki,891126dadbbffff,21.0,3.091042453358316,7.89467264853819,0.22094694302540274,0.25525160755152126,"(2.944, 3.178]"
8911285160fffff,9.666666666666666,14.0,7.0,14.0,1,1kmN6979E0664,Q2,Joensuu,Joensuu,8911285160fffff,4.0,1.6094379124341003,0.0,0.0,0.0,"(1.386, 1.946]"
8911285280bffff,13.0,91.0,13.0,91.0,1,1kmN6671E0391,Q4,Helsinki,Helsinki,8911285280bffff,0.0,0.0,0.0,0.0,0.0,"(-0.001, 1.386]"
89112a83533ffff,7.9960044579857374,7.9960044579857374,8.0,8.0,1,1kmN6945E0682,Q4,Joensuu,Ilomantsi,89112a83533ffff,0.0,0.0,0.003995542014262554,0.0004440476872793475,0.0004994427517828193,"(-0.001, 1.386]"
89112a9958bffff,7.0,9.0,7.0,9.0,1,1kmN6928E0680,Q2,Joensuu,Joensuu,89112a9958bffff,0.0,0.0,0.0,0.0,0.0,"(-0.001, 1.386]"
