user_id,visit_freq,home_dist,work_dist,CIVIC_RELIGION,CULTURE,DINING,EDUCATION,FITNESS,GROCERIES,HEALTHCARE,PARK,RETAIL,SERVICE,TOURISM,TRANSPORT
428d86fe-eaf2-417a-aaee-17fe1263c561,1,6673.412832,3900.363704,1,0,14,2,0,4,3,0,23,17,3,7
4e361722-dad3-4f22-88d3-55171a8a9231,1,2499.447195,17146.71139,0,0,3,1,0,3,0,0,17,15,0,1
4e361722-dad3-4f22-88d3-55171a8a9231,1,3989.959999,17465.7021,0,0,1,1,0,1,1,0,0,1,0,3
4e361722-dad3-4f22-88d3-55171a8a9231,2,10778.59917,8833.796272,0,1,3,4,0,3,0,0,1,2,1,2
4e361722-dad3-4f22-88d3-55171a8a9231,3,10517.56194,9074.880048,0,0,0,4,0,0,1,0,1,1,0,3
4e361722-dad3-4f22-88d3-55171a8a9231,5,1622.956418,14.74008866,4,1,11,12,2,4,14,0,0,9,1,12
4e361722-dad3-4f22-88d3-55171a8a9231,8,37.70276058,1623.705577,3,4,59,7,16,5,5,0,16,59,13,6
4e361722-dad3-4f22-88d3-55171a8a9231,1,359.2350893,1927.648036,3,6,31,16,10,2,6,0,18,32,8,5
4e361722-dad3-4f22-88d3-55171a8a9231,10,29.59208494,19569.72095,2,0,1,1,0,0,2,0,1,1,0,0
4e361722-dad3-4f22-88d3-55171a8a9231,1,3933.897725,21848.17297,0,0,0,0,0,0,0,0,0,0,0,0
5724ead9-d901-45f3-ace4-9c9db32e9a35,5,69001.32079,65566.74984,0,0,0,0,0,0,0,0,0,0,1,0
5724ead9-d901-45f3-ace4-9c9db32e9a35,2,6641.650605,8444.531174,0,7,70,3,7,11,13,0,98,37,7,17
5724ead9-d901-45f3-ace4-9c9db32e9a35,3,1992.592544,71.01568173,4,1,18,7,7,3,9,0,10,29,3,5
