home_gid9,car_tt_kfreq,pt_tt_kfreq,car_tt_kdist,pt_tt_kdist,poi_count,log_poi,pt_tt_diff,log_pt_diff,perc_pt_diff
890899683bbffff,15.273285310355254,180.0,16.0,93.0,24.0,3.218875824868201,87.0,0.6552022489958222,0.935483870967742
890899683d3ffff,20.02866179403867,29.92368755334205,13.0,19.422562635174707,60.0,4.110873864173311,10.501124918167342,0.4148821765141881,0.5406662918491283
890899684a3ffff,15.90453584178743,13.74185558707815,6.963412859303963,9.963412859303965,26.0,3.295836866004329,3.778442727774188,0.2961271413798365,0.3792317734024069
890899684a7ffff,32.954880740176456,46.8447057543738,9.4205585827995,15.613461360227085,23.0,3.1780538303479458,31.231244394146714,1.0577471771807074,2.000276791519372
890899684b7ffff,6.0,6.0,6.0,6.0,31.0,3.4657359027997265,0.0,0.0,0.0
890899684bbffff,16.251599583170652,67.4441382701582,20.0,83.0,18.0,2.9444389791664403,15.555861729841794,0.2047988859816287,0.1874200208414674
89089968507ffff,808.250202487748,25.316538772220497,15.0,26.0,33.0,3.5263605246161616,0.6834612277795031,0.0256392738095567,0.0262869702992116
8908996850fffff,10.888967321263106,10.888967321263106,5.861098984026608,5.861098984026608,41.0,3.737669618283368,5.027868337236498,0.5497432235595012,0.8578371310464243
89089968517ffff,5.831927080232183,5.831927080232183,5.794196850915724,5.794196850915724,21.0,3.091042453358316,0.0377302293164589,0.0055379396129648,0.0065117272138408
8908996852bffff,5.748406848215281,7.0,5.748406848215281,7.0,25.0,3.258096538021482,0.0,0.0,0.0
89089968547ffff,9.895442736797492,32.666666666666664,8.34316410519624,19.5,23.0,3.1780538303479458,13.166666666666664,0.4960833420287871,0.6752136752136751
8908996854bffff,12.78763511522439,41.11162452899693,8.0,10.0,14.0,2.70805020110221,31.111624528996927,1.342428546854972,3.1111624528996926
89089968553ffff,5.783663933829194,5.783663933829194,5.783663933829194,5.783663933829194,19.0,2.995732273553991,0.0,0.0,0.0
8908996856fffff,15.09689701264638,15.09689701264638,15.09689701264638,15.09689701264638,24.0,3.218875824868201,0.0,0.0,0.0
89089968573ffff,39.36896361670601,5.737927233412021,39.36896361670601,5.737927233412021,43.0,3.784189633918261,0.0,0.0,0.0
8908996857bffff,12.5,180.0,11.747697271859384,31.261975502641786,10.0,2.3978952727983707,148.73802449735825,1.7246077235359851,4.757793520911344
